China Seas,"Action, Drama, Adventure, Romance","Dynamic Alan Gaskell captains a ship bound from Hong Kong to Singapore. Gaskell tries to turn over a new leaf from his hard-drinking lifestyle after becoming re-attached to a refined high class English lady, Sybil Barclay. His former girlfriend Dolly is extremely jealous of the budding relationship and tries hard to get the Captain back. He is apparently unimpressed with her loud, obnoxious, and uncivilized manners, even though she is extremely beautiful. After a temporary takeover of the ship by gold-seeking Asian pirates, Captain Gaskell must deal with the fact that Dolly and her drinking pal, Jamesey MacArdle, are implicated in the crime."
Curly Top,"Family, Musical, Romance","Wealthy Edward Morgan becomes charmed with a curly-haired orphan and her pretty older sister Mary and arranges to adopt both under the alias of ""Mr. Jones."" As he spends more time with them, he soon finds himself falling in love with Mary."
The Strange Woman,"Drama, Film-Noir, Romance, Thriller","Beautiful Jenny Hager finds she can always get what she wants from the men in the 1820's port of Bangor, Maine. Freed by his death from her drunkard father she soon manoeuvres herself into a position to marry a middle-aged monied local businessman. Though she often uses his money to do good, she continues to consider all other men fair game."
Dante's Inferno: An Animated Epic,"Animation, Action, Adventure, Drama, Fantasy, Horror","After fighting in the Crusades for three years, Dante rides back home to his family estate to reunite with his beloved Beatrice and his father. Dante sees a rider following him, but out of the blue, the man vanishes with no trace. When he arrives home, he sees the servants slaughtered, his father murdered and Beatrice near death. When her soul is going to the heaven, Lucifer takes Beatrice to Hell, telling her that Dante has betrayed her. Dante meets Virgil who guides him to Hell, and the poet explains that Beatrice had a bet with Lucifer that Dante would be faithful to her while in the holy war. In return, Lucifer would protect Dante and bring him back home safe and sound. Upon arrival in Hell, Dante learns that he needs to cross nine circles to reach Lucifer ad on his painful journey, he discovers who doomed his family to suffer in Hell."
The Dark Angel,"Drama, Romance","Kitty Vane, Alan Trent, and Gerald Shannon have been inseparable friends since childhood. Kitty has always known she would marry one of them, but has waited until the beginning of World War I before finally choosing Alan. Gerald graciously gives them his blessing. Then, Gerald and Alan go to war. Angered over a misunderstanding involving Alan and Kitty, Gerald sends Alan on a dangerous mission that will change all their lives forever."
The Desert Trail,"Romance, Western",Rodeo star John Scott and his gambler friend Kansas Charlie are wrongly accused of armed robbery. They leave town as fast as they can to go looking for their own suspects in Poker City.
The Devil Is a Woman,"Comedy, Drama, Romance","Film told in flashbacks of an older man's obsession for a woman who can belong to no-one but can frustrate everyone. The backdrop is SternbergÍs surreal and fantastic Carnaval in Spain. In a café the older man details his encounters with the heart breaker that his younger friend has only just met at the parade. Forewarned, the young man swears he will avoid the fate of his friend, but rushes all the same to his evening rendezvous. A dreamlike story of frustrated, lost romance, spoken in the past tense, never really resolved."
Front Page Woman,"Comedy, Romance","Reporter Curt Devlin loves sob sister Ellen Garfield but believes women are ""bum newspapermen"". When she learns the identity of a murdered arsonist, he calls it luck. When she goes after the murderer he gets enough evidence to have Maitland Coulter arrested. She finds a bunch of ""not guilty"" ballots and publishes the wrong story; he eavesdrops on the jury and gets the correct verdict. After being fired she gets a confession from the real killer and gets Coulter released."
G-Men from Hell,"Action, Comedy, Adventure","Dean Crept and Mike Mattress are two government agents, 'G-men' whom are murdered in an ambush and sent straight to the hot and fiery realm of hell. Dean and Mike manage to escape using a magical dimension traveling crystal to land them back on Earth where they decide to open their own private investigating service, with some stolen money from their killer Buster Lloyd, and soon land a fashionable office space with an attractive and loyal secretary-of-all-trades named Marete. Dean and Mike's first job is to help a mysterious femme fatal named Gloria Lake who fears her wealthy husband is plotting to swindle out of her inheritance. But before that can happen, the husband is murdered, and Dean and Mike are the suspects. With a relentless police detective tailing them, Dean and Mike try to solve the case, while dealing with the Devil's agent who follows them up from hell to bring them back within 46 hours."
G'Men 2020,Action,"The U.S. Government assembles a combined ""law enforcement and intelligence unit"" to counter attack international terrorism."
The Good Fairy,"Comedy, Romance","Young, naive Luisa Ginglebusher, who loves fairy tales, leaves the Budapest orphanage to become a movie usherette. Soon she befriends paternal waiter Detlaff and not so paternal Konrad, a meat-packing millionaire. Uninterested in Konrad's rich gifts, Luisa schemes to be a ""good fairy"" and divert some of this wealth to poor stranger Dr. Sporum. But it's not that simple..."
Hands Across the Table,"Comedy, Romance","Hotel manicurist Regi Allen is a cynical golddigger who meets her match in Theodore 'Ted' Drew III. After a date with Ted, she lets him sleep on her couch when he's too drunk to go further; but what is she to think when he wants to extend the arrangement?"
If You Could Only Cook,"Comedy, Romance","Auto magnate James Buchanan has a fiancée who doesn't love him and a board of directors who won't listen to him. Brooding on a park bench, he meets unemployed Joan Hawthorne, a fine cook who needs a partner to apply for a 'couple' butler/cook job with gourmet ex-bootlegger Mike Rossini. Bemused, Buchanan goes along with the gag, taking lessons from his own butler. But there's sure to be a day of reckoning..."
Carnival in Flanders,"Comedy, History, Romance","When the village of Boom, in Flanders, learns a Spanish Duke and his troops plan to pass the night, the 4-man army deserts and the Mayor plays dead; so the Mayor's wife organizes the townswomen to greet the invaders and preserve the peace with womanly wiles."
The Last Days of Pompeii,"Action, Adventure, History, Romance","Based on the Edward Bulwer-Lytton novel. Set in the shadows of Mt. Vesuvius just before its famous eruption, the film begins with Glaucus, a Roman legionnaire, returning to his home from far-off wars. Upon arriving, however, he discovers that his father has been murdered by a gang of black-hooded looting bandits. Glaucus vows revenge against the killers, but just how high up are those involved?"
Mad Love,"Drama, Romance","The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teenager Casey Roberts moves to the house on the other side of the lake, Matt snoops into her room with his telescope. They meet each other and soon they fall in love with each other. One day, Matt is taking a test at school and Casey activates the fire alarm to stop the test. She is suspended and her father decides to check her into a psychiatric institution. However Matt breaks her out of the hospital. They travel in Matt's car and have lots of fun until the day Matt discovers that Casey has bipolar disorder with periods of depression and periods of elevated mood. When she tries to commit suicide, Matt realizes that she needs specialized help."
Magnificent Obsession,"Drama, Romance","When churlish, spoiled rich man Bob Merrick foolishly wrecks his speed boat, the rescue team resuscitates him with equipment that's therefore unavailable to aid a local hero, Dr. Wayne Phillips, who dies as a result. Phillips had helped many people, and when Merrick learns Phillips' secret, to give selflessly and in secret, he tries it in a ham-handed way. The result further alienates Phillips' widow, Helen, with whom Merrick has fallen in love. Merrick's persistence causes another tragedy, and he must remake his life, including going back to medical school, in an attempt to make amends and win her love."
A Midsummer Night's Dream,"Comedy, Fantasy, Romance","Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny."
Les Misérables,"Drama, History, Musical, Romance, War","Jean Valjean, known as Prisoner 24601, is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France, the story reaches resolution against the background of the June Rebellion."
Les Misérables,"Drama, History, Musical, Romance, War","Jean Valjean, known as Prisoner 24601, is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France, the story reaches resolution against the background of the June Rebellion."
The Murder Man,"Crime, Drama, Mystery, Romance","Steve Grey, reporter for the Daily Star, has a habit of scooping all the other papers in town. When Henry Mander is investigated for the murder of his shady business partner, Grey is one step ahead of the police to the extent that he often dictates his story in advance of its actual occurrence. He leads the police through an 'open and shut' case resulting in Mander being tried, convicted and sentenced to death. Columnist Mary Shannon is in love with Steve but she sees him struggle greatly with his last story before Mander's execution. When she starts typing out the story from his recorded dictation, she realizes why."
Mutiny on the Bounty,"Adventure, Biography, Drama, History, Romance","Midshipman Roger Byam joins Captain Bligh and Fletcher Christian aboard HMS Bounty for a voyage to Tahiti. Bligh proves to be a brutal tyrant and, after six pleasant months on Tahiti, Christian leads the crew to mutiny on the homeward voyage. Even though Byam takes no part in the mutiny, he must defend himself against charges that he supported Christian."
Naughty Marietta,"Drama, Musical, Romance","Princess Marie de Namours de la Bonfain is a beautiful, young, sophisticated French princess of 23, who finds more worth in true love than a title. On the eve of her arranged marriage, to a Spanish-grandee, whom she doesn't love, her maid, Marietta comes to her to say farewell. Marietta is to leave that night on a cargo ship bound for New Orleans where she is to make a new life and find a husband. Princess Marie trades places with Marietta to escape her unwanted marriage and takes on the maid, Marietta's identity. While sailing, the cargo ship is taken hostage by pirates, but, Captain Richard Warrington and his mercenaries soon come to the rescue. Captain Warrington is quickly taken by the beautiful princess aka Marietta and she with him. But, he has no interest in marriage and she's afraid she might be recognized. Meanwhile in France, a search and reward is out for Princess Marie's whereabouts. Princess Marie's Uncle and fiancée soon discover that she is in New Orleans and sail for America. When they arrive Princess Maria's true identity is revealed. That eve, a elegant ball is thrown in her honor. Captain Warrington learns that the Princess will be sent back that night to France, but, he isn't going to let the women he loves get away that easy."
No More Ladies,"Comedy, Romance",A society girl tries to reform her playboy husband by making him jealous.
Page Miss Glory,"Comedy, Music, Romance","Loretta Dalrymple, a homely young country girl comes to New York City and gets a job as a chambermaid in a large hotel. She meets Ed Olson, a photographer out of work, and Dan Riley, a promoter with nothing to promote. When an advertiser offers a reward for a photograph of 'America's Prettiest Girl,"", Ed makes a composite photo of all the famous movie stars and society belles and calls the girl in his picture ""Dawn Glory."" A Dawn-Glory craze sweeps the country, and Loretta, with makeup and new clothes, turns out to be the reincarnation of the picture. Loretta has fallen in love with a newspaper picture of ""Bingo"" Russell, a famous aviator, and when Dan and Ed ask her to pose as Dawn Glory, she readily agrees, hoping she will get to meet Russell. She does meet him and, then, complications arise."
Paradise Ranch,"Drama, Romance","Han Dong Joo (Max Changmin) and Lee Da Ji (Lee Yeon Hee) were once desperately in love and married at 19 after struggling to convince their parents, but they had divorced after a mere six months. Six years later, they meet coincidentally at a horse auction in Australia and discover that their feelings for each other are still very much alive."
Paradise Canyon,"Action, Adventure, Crime, Music, Western","Sent to find counterfeiters, John Wyatt joins Doc Carter's medicine show. They arrive in the town where Curly Joe runs his counterfeiting operation. Carter was once framed by Curly Joe and Curly Joe tries to get rid of him. But John foils his attempts and learning Curly Joe is the counterfeiter, goes after him."
Peter Ibbetson,"Drama, Fantasy, Romance","Architect Peter Ibbetson is hired by the Duke of Towers to design a building for him. Ibbetson discovers that the Duchess of Towers, Mary, is his now-grown childhood sweetheart. Their love revives, but Peter is sentenced to life in prison for an accidental killing. Mary comes to him in dreams and they are able to live out their romance in a dream world."
Rainbow Valley,"Action, Romance, Western",Rainbow Valley needs a new road and newcomer John Martin agrees to build it. Rogers is out to stop it and alters the town's petition to the Governor thereby obtaining the release of his boss Butch Galt. John and Butch were cell mates in prison. So Butch gets John to agree to wreck the road and furnishes him with dynamite. But dynamite is just what John needs to finish the work and he hopes to take care of Butch's gang at the same time.
Rendezvous,"Short, Action","It is an early, flaming morning of August and Paris slowly begins to wake up. In the stillness, where the dimming lights of the city battle with the coming of the day, a mighty mechanical roar breaks the silence. Without a doubt, it is the unmistakable and distinct sound of a V-12 engine that belongs to a Ferrari 275GTB, revving and shifting up gears as it enters furiously the tunnel at Porte Dauphine. In the same fashion, as it exits up on the Avenue des Champs-Élysées, flat out, the driver aims for the Place de la Concorde heading for the Palais Garnier, in a mad dash down-shifting inside the heart of the city. In squealing tyres, the mighty noise is scattering pigeons and petrified pedestrians across the way, while the car enters narrow, slippery cobbled roads with early morning drivers. Now, it is clear enough that this heart-pounding, nerve-wracking ride continues its course towards the Place Pigalle. With the final destination at the Basilique du Sacré-Coeur and with a last blind hairpin remaining that could turn one's hair grey, the intrepid driver reaches the end of this high-adrenaline ride. Who will be waiting for him at the finish line?"
Roberta,"Comedy, Musical, Romance","Football player John Kent tags along as Huck Haines and the Wabash Indianians travel to an engagement in Paris, only to lose it immediately. John and company visit his aunt, owner of a posh fashion house run by her assistant, Stephanie. There they meet the singer Scharwenka (alias Huck's old friend Lizzie), who gets the band a job. Meanwhile, Madame Roberta passes away and leaves the business to John and he goes into partnership with Stephanie."
Ruggles of Red Gap,"Comedy, Romance","While visiting Paris in 1908, upper class Lord Burnstead loses his butler playing poker. Egbert and Effie Floud bring Ruggles back to Red Gap, Washington. Effie wants to take advantage of Ruggles' upper class background to influence Egbert's hick lifestyle. However, Egbert is more interested in partying and he takes Ruggles to the local 'beer bust'. When word gets out that ""Colonel Ruggles is staying with his close friends"" in the local paper, the butler becomes a town celebrity. After befriending Mrs. Judson, a widow who he impresses with his culinary skills, Ruggles decides to strike out on his own and open a restaurant. His transition from servant to independent man will depend on its success."
Star of Midnight,"Romance, Comedy, Mystery","Friend Tim Winthrop asks criminal lawyer and amateur detective Clay Dalzell to find his girl, Alice, who disappeared a year earlier without a trace. When they go to the theater with Clay's would-be fiancée, Donna Mantin, Tim recognizes the star, Mary Smith, as his girl, and yells ""Alice,"" after which she bolts from the stage and disappears once again. Reporter Tommy Tennant knows why she bolted, but before he can tell Clay the reason, he is shot dead and Clay is wounded slightly in Clay's apartment. The many suspects include Roger Classon and his wife, Jerry, who are looking for Alice to testify and save Roger's friend from the electric chair for a murder he didn't commit; Abe Ohlman, the producer of Mary's show; and gangster Jimmy Kinland who seems to know more than he's telling. It's up to Clay, with the help of Donna, to trap the murderer and find Alice."
Steamboat Round the Bend,"Comedy, Drama, Romance","Dr. John Pearly is an affable, turn-of-the-century con man who sells a patent medicine whose primary ingredient is whiskey. He resurrects a broken down steamboat with a makeshift crew and challenges the respectable but arrogant Captain Eli to a winner-take-all river race. Pearly hopes his nephew Duke will serve as pilot, but the young man stands accused of murdering a 'swamp rat' who threatened the honor of 'swamp girl' Fleety Belle. After Duke is arrested, Pearly tries to raise money for a lawyer by charging admission to a wax museum aboard his ship. Ultimately he gambles it all in the river race to Baton Rouge, where he hopes to find a witness whose testimony will free Duke."
Steamboat Round the Bend,"Comedy, Drama, Romance","Dr. John Pearly is an affable, turn-of-the-century con man who sells a patent medicine whose primary ingredient is whiskey. He resurrects a broken down steamboat with a makeshift crew and challenges the respectable but arrogant Captain Eli to a winner-take-all river race. Pearly hopes his nephew Duke will serve as pilot, but the young man stands accused of murdering a 'swamp rat' who threatened the honor of 'swamp girl' Fleety Belle. After Duke is arrested, Pearly tries to raise money for a lawyer by charging admission to a wax museum aboard his ship. Ultimately he gambles it all in the river race to Baton Rouge, where he hopes to find a witness whose testimony will free Duke."
Sylvia Scarlett,"Comedy, Drama, Romance","Escaping to England from a French embezzlement charge, widower Henry Scarlett is accompanied by daughter Sylvia who, to avoid detection, ""disguises"" herself as a boy, ""Sylvester."" They are joined by amiable con man Jimmy Monkley, then, after a brief career in crime, meet Maudie Tilt, a giddy, sexy Cockney housemaid who joins them in the new venture of entertaining at resort towns from a caravan. Through all this, amazingly no one recognizes that Sylvia is not a boy...until she meets handsome artist Michael Fane, and drama intrudes on the comedy."
A Tale of Two Cities,"Drama, History, Romance","An elaborate adaptation of Dickens' classic tale of the French Revolution. Dissipated lawyer Sydney Carton defends emigre Charles Darnay from charges of spying against England. He becomes enamored of Darnay's fiancée, Lucie Manette, and agrees to help her save Darnay from the guillotine when he is captured by Revolutionaries in Paris."
Texas Terror,"Action, Adventure, Drama, Western",Sheriff John Higgins quits and goes into prospecting after he thinks he has killed his best friend in shooting it out with robbers. He encounters his dead buddy's sister and helps her run her ranch. Then she finds out about his past.
Top Hat,"Comedy, Musical, Romance","Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace."
The Wedding Night,"Drama, Romance","Because his finances are low and he is seeking background for a new book, author Tony Barratt and his wife Dora return to his country home in Conneecticut. While he is finding a theme for his book on the lives and customs of the local, immigrant tobacco farmers, his wife returns to New York and, alas, his Japanese servant deserts him. He meets a neighboring farm girl, Manya Novak, and hires her to cook his meals and clean his house. They soon fall in love. But, following the customs of the old country, her father has entered a 'marriage bargain' for her to wed a man, Fredrik Sobieski, not of her choosing."
Whipsaw,"Crime, Drama, Romance","Vivian, Ed and Harry steal jewels in Paris. In New York government agent McBride accompanies Vivian riding across the country with the loot. She falls in love with him and gives up crime; he finds the stash and arrests her. Rival crooks Doc and Steve, who had already stolen the stolen jewels once, attempt to take them once again."
The Woman in Red,"Comedy, Romance","Teddy is a middle-aged man who has a good wife, kids, friends and a fine job. You could say that he has everything he wants; but he doesn't. One day he sees a gorgeous woman in a red dress, and goes crazy! He must have her..."
The Amazing Adventure,"Drama, Romance, Comedy","Ernest Bliss is a rich young man with too little to do. Not realizing the depression he's in is due to boredom, Ernest consults a doctor. Sir James Aldroyd gives Ernest a prescription that he doesn't think Ernest can fill: Ernest must earn his own living for one year using none of his current wealth. Ernest bets him 50,000 English pounds that he can."
Anthony Adverse,"Adventure, Drama, Romance","In late 18th century Italy, a beautiful young woman finds herself married to a rich but cruel older man. However, she is in love with another, younger man. When the husband finds out, he kills the lover in a swordfight, and takes his wife on a long trip throughout Europe. Months later, she dies giving birth to a son. The husband leaves the child at a convent, where he is raised until the age of 10; then he is apprenticed to a local merchant, who gives him the name ""Anthony Adverse"" because of the adversity in his life. But his adversity has only begun, as fate takes him to Cuba, Africa, and Paris."
The Bride Walks Out,"Comedy, Romance","Carolyn and Michael fall in love and decide to marry. However, Michael insists that Carolyn quit her job. She immediately realizes that he cannot make financial ends meet on their salary alone, so she gets another job & tries keeping it a secret, from him."
Cain and Mabel,"Comedy, Musical, Romance","The managers of heavyweight champion Larry Cain and Broadway musical star Mabel O'Dare scheme up a romance to give the celebrities more glamour. But the two don't hit it off, having started on the wrong foot."
The Charge of the Light Brigade,"Action, Adventure, Romance, War","Major Vickers is an officer at the 27th Lancers in India 1856. When the regiment is on maneuver, the barracks are attacked by Surat Khan and his soldiers who massacre British women and children. This leaves an inextinguishable memory and Vickers promises to revenge the dead."
Roaring Timber,"Drama, Romance","Jim Sherwood (Jack Holt), toughest logging boss in the timber country, takes on his toughest assignment when he agrees to cut an enormous volume of timber for Andrew MacKinley (J. Farrell ..."
Come and Get It,"Drama, Romance","In 1884 lumberman Barney Glasgow leaves his true love, saloon singer Lotta Morgan, to marry Emma Louise, his boss's daughter. His buddy Swan Bostrom marries Lotta instead. Barney becomes a lumber magnate by stripping the Wisconsin forests, without re-planting. After 23 years, Barney finally visits Swan. Lotta has died, but Barney is smitten by their daughter Lotta Bostrom, who looks almost like her mother. His lavish attentions to Lotta create gossip and a rivalry between Barney and his son Richard."
Desire,"Comedy, Crime, Romance","Madeleine steals a string of pearls in Paris and uses US engineer Tom, who is driving on his vacation to Spain, to get the pearls out of France, but getting the pearls, back from him proves to be difficult without falling in love."
Dodsworth,"Drama, Romance","A bittersweet tale of the increasing estrangement of a retired automobile tycoon and his wife. Increasingly obsessed with maintaining an appearance of youth, she falls in with a crowd of frivolous socialites during their ""second honeymoon"" European vacation. He, in turn, meets a woman who is everything she is not: self-assured, self-confident, and able to take care of herself."
The Ex-Mrs. Bradford,"Comedy, Mystery, Romance","Relations between Dr. 'Brad' Bradford and ex-wife Paula are surprisingly romantic. They divorced because Brad hated being dragged into murder mysteries, to which mystery writer Paula is addicted. But through horse trainer Mike North, Brad is embroiled in the case of a jockey who died of ""heart failure"" during a race. As they pursue clues, Paula pursues Brad for remarriage, and assorted hoods pursue the Bradfords."
Flash Gordon,"Action, Adventure, Sci-Fi","Flash Gordon is an American football hero who is skyjacked aboard Dr. Hans Zarkov's rocketship along with his beautiful girlfriend Dale Arden. The threesome are drawn into the influence of the planet Mongo, ruled by Emperor Ming the Merciless. The evil Ming has been testing Earth with unnatural disasters, and deeming our world a threat to his rule. He also intends to take Dale as his concubine, attempts to execute Flash and intends to destroy Earth. Flash must avoid the amorous attentions of Ming's daughter, and unite the warring kingdoms of Mongo to rescue Dale and save our world."
Flash Gordon,"Action, Adventure, Sci-Fi","Flash Gordon is an American football hero who is skyjacked aboard Dr. Hans Zarkov's rocketship along with his beautiful girlfriend Dale Arden. The threesome are drawn into the influence of the planet Mongo, ruled by Emperor Ming the Merciless. The evil Ming has been testing Earth with unnatural disasters, and deeming our world a threat to his rule. He also intends to take Dale as his concubine, attempts to execute Flash and intends to destroy Earth. Flash must avoid the amorous attentions of Ming's daughter, and unite the warring kingdoms of Mongo to rescue Dale and save our world."
Follow the Fleet,"Comedy, Musical, Romance","When the fleet puts in at San Francisco, sailor Bake Baker tries to rekindle the flame with his old dancing partner, Sherry Martin, while Bake's buddy Bilge Smith romances Sherry's sister Connie. But it's not all smooth sailing: Bake has a habit of losing Sherry's jobs for her; and despite Connie's dreams, Bilge is not ready to settle down."
Fury,"Action, Drama, War","1945, in World War II Germany, the tough Sergeant Don 'Wardaddy' Collier commands a tank and survives a German attack with his veteran crew composed of Boyd 'Bible' Swan, Trini 'Gordo' Garcia and Grady 'Coon-Ass' Travis. He receives a rookie soldier Norman Ellison as the substitute for his deceased gunner and he tries to harden the youth along the way."
The Garden of Allah,"Adventure, Drama, Romance","Domini, an heiress who has led a cloistered life, visits the North African desert for spiritual renewal. There she meets Boris, recently escaped from a Trappist monastery. Their friendship ripens into love, but he conceals his past from her. Then in a remote oasis, they meet a man who knows his secret."
Gold Diggers of 1937,"Comedy, Musical, Romance","Stage-producer J.J. Hobart, is going to put on a new show, but he doesn't know that his two partners lost the money at the stock market. Insurance salesman Rosmer Peek falls in love with ex chorus-girl Joan Blondell, who's friend Genevieve tries to land on one of J.J Hobart's partners. They come up with the idea to insure J.J. for $1 Million, to get the money back when he dies. Rosmer sells him the policy. After the insurance company finds out that he's only a hypochondriac, an attempt to kill him accidentally fails, and Genevieve falls in love with J.J. But when J.J. is informed that he is putting on a show with no money he has a breakdown. The only possibility to restore his health is putting on the show, in spite of the lack of money."
The Great Ziegfeld,"Biography, Drama, Musical, Romance","At the 1893 Chicago World's Fair, sideshow barker Flo Ziegfeld turns the tables on his more successful neighbor Billings, and steals his girlfriend to boot. This pattern is repeated throughout their lives, as Ziegfeld makes and loses many fortunes putting on ever bigger, more spectacular shows (sections of which appear in the film). French revue star Anna Held becomes his first wife, but it's not easy being married to the man who ""glorified the American girl."" Late in life, now married to Billie Burke, he seems to be all washed up, but..."
Intermezzo,"Romance, Drama","A concert violinist becomes charmed with his daughter's talented piano teacher. When he invites her to go on tour with him, they make beautiful music away from the concert hall as well. He soon leaves his wife so the two can go off together."
Libeled Lady,"Comedy, Romance","Warren Haggerty is the chief editor of the New York Evening Star. He keeps on delaying his marriage with Gladys because of problems his newspapers must face. When a 5 million dollar lawsuit is filed by Connie Allenbury for falsely printing she is a marriage-breaker, he plans a marriage in words only between Gladys and the Don Juan Bill Chandler. The goal is to catch Connie alone with a married man."
Little Lord Fauntleroy,"Drama, Family, Romance","Ceddie, Earl of Dorincourt's only grandson and heir lives in America with his mother. The Earl, getting old, asks them to come to England. Ceddie, now Lord Fauntleroy, is an adorable little fellow. The Earl, who at first was rather distant, becomes more en more fond of him. Then Minna shows up. She claims she was married to the Earl's eldest son and that her son, being their child, is the Earl's true heir..."
Lloyds of London,"Drama, History, Romance, War",Blake is in love with an aristocratic woman whose husband seriously injures him. Blake's friendship with Lord Nelson provides the basis for Blake's part in the growth of Lloyd's insurance business following the Battle of Trafalgar. Only very slightly based on history.
Love on the Run,"Comedy, Drama, Romance","Antoine Doinel is now more than thirty. He divorces from Christine. He is a proofreader, and is in love with Sabine, a record seller. Colette, his teenager love, is now a lawyer. She buys Antoine's first published autobiographical novel. They meet again in a station..."
Mary of Scotland,"Biography, Drama, History, Romance","Mary Stuart returns to Scotland to rule as queen, to the chagrin of Elizabeth I of England who finds her a dangerous rival. There is much ado over whom Mary shall marry; to her later regret, she picks effete Lord Darnley over the strong but unpopular Earl of Bothwell. A palace coup leads to civil war and house arrest for Mary; she escapes and flees to England, where a worse fate awaits her."
Mickey's Rival,"Animation, Short, Comedy, Family, Romance","Minnie's old friend, Mortimer Mouse, drops in on Mickey and Minnie's picnic. His practical jokes and coming on to Minnie soon have Mickey stewing, and their car isn't happy either. When Mortimer gets a nearby bull enraged and takes off, the car comes to the rescue after Mickey gets tangled up in a red blanket."
Modern Times,"Comedy, Drama, Family, Romance","Chaplins last 'silent' film, filled with sound effects, was made when everyone else was making talkies. Charlie turns against modern society, the machine age, (The use of sound in films ?) and progress. Firstly we see him frantically trying to keep up with a production line, tightening bolts. He is selected for an experiment with an automatic feeding machine, but various mishaps leads his boss to believe he has gone mad, and Charlie is sent to a mental hospital... When he gets out, he is mistaken for a communist while waving a red flag, sent to jail, foils a jailbreak, and is let out again. We follow Charlie through many more escapades before the film is out."
Mr. Deeds Goes to Town,"Comedy, Drama, Romance","Longfellow Deeds lives in a small town, leading a small town kind of life - including playing the tuba in the town band. When a relative dies and leaves Deeds a fortune, Longfellow picks up his tuba and moves to the big city where he becomes an instant target for everyone from the greedy opera committee to the sensationist daily newspaper. Deeds outwits them all until Babe Bennett comes along. Babe is a hot-shot reporter who figures the best way to get close to Deeds is to pose as a damsel in distress. When small-town boy meets big-city girl anything can, and does, happen."
My Man Godfrey,"Comedy, Drama, Romance","In the depths of the Depression, a party game brings dizzy socialite Irene Bullock to the city dump where she meets Godfrey, a derelict, and ends by hiring him as family butler. He finds the Bullocks to be the epitome of idle rich, and nutty as the proverbial fruitcake. Soon, the dramatizing Irene is in love with her 'protege'...who feels strongly that a romance between servant and employer is out of place, regardless of that servant's mysterious past..."
Double Trouble,"Action, Comedy, Crime",Muscle-bound twins try to smash a jewel smuggling ring.
Pennies from Heaven,"Drama, Musical, Romance","In Chicago during the 1930s depression, sheet music salesman Arthur Parker is trying to sell his products, but it's not easy to convince unwilling music store owners to buy them. Although he's already married to the somewhat drab Joan, when he meets school teacher Eileen in a music store, he falls in love with her."
The Petrified Forest,"Drama, Film-Noir, Romance, Thriller","Gabby lives and works at her dads small diner out in the desert. She can't stand it and wants to go and live with her mother in France. Along comes Alan, a broke man with no will to live, who is traveling to see the pacific, and maybe to drown in it. Meanwhile Duke Mantee a notorious killer and his gang is heading towards the diner where Mantee plan on meeting up with his girl."
The Plainsman,"Biography, History, Romance","With the end of the North American Civil War, the manufacturers of repeating rifles find a profitable means of making money selling the weapons to the North American Indians, using the front man John Lattimer to sell the rifles to the Cheyenne. While traveling in a stagecoach with Calamity Jane and William ""Buffalo Bill"" Cody and his young wife Louisa Cody that want to settle down in Hays City managing a hotel, Wild Bill Hickok finds the guide Breezy wounded by arrows and telling that the Indians are attacking a fort using repeating rifles. Hickok meets Gen. George A. Custer that assigns Buffalo Bill to guide a troop with ammunition to help the fort. Meanwhile the Cheyenne kidnap Calamity Jane, forcing Hickok to expose himself to rescue her."
Poor Little Rich Girl,"Adventure, Comedy, Family, Musical, Romance",Little Barbara gets lost and is then picked up by entertainers who make her part of their act. Barbara's father hears the act on the radio and finds his lost daughter.
The Princess Comes Across,"Comedy, Mystery, Romance","A Swedish princess boards an ocean liner in Europe en route to an acting career in America, and finds herself getting inconveniently attached to a bandleader returning home. To complicate matters, a blackmailer on board apparently knows she is not who she claims to be - and he has his sights set on other passengers with secrets of their own. In the meantime an escaped killer has stowed away under someone else's identity, and is killing again to cover his tracks; five international police detectives on board are heading the investigation to find him. When evidence points to the princess and bandleader, they must find the killer themselves - before he finds them."
Romeo and Juliet,"Drama, Romance","Shakespeare's classic tale of romance and tragedy. Two families of Verona, the Montagues and the Capulets, have been feuding with each other for years. Young Romeo Montague goes out with his friends to make trouble at a party the Capulets are hosting, but while there he spies the Capulet's daughter Juliet, and falls hopelessly in love with her. She returns his affections, but they both know that their families will never allow them to follow their hearts."
