title,genre,plot
3 Bad Men,"Romance, Western","In 1876, an old man finds gold in the Sioux lands, provoking a gold and land rush from immigrants to Dakota. On the way to Custer, the lonely cowboy Dan O'Malley helps to fix the wheel of Mr. Carlton's wagon and flirts with his daughter Lee Carlton. Later, Lee and her father are attacked by horse thieves and Mr. Carlton is murdered; however, the outlaws ""Bull"" Stanley, Mike Costigan and ""Spade"" Allen save her from the criminals and head with her to the camp where the pioneers are waiting for President Grant proclamation to explore the lands. In the site, the corrupt Sheriff Layne Hunter rules with his henchmen with horror and injustice. The trio of outlaws decides that Lee needs to get married and select Dan to be her husband. When Bull's sister Millie Stanley is murdered by Hunter's right arm Nat Lucas, ""Bull"" organizes the men to chase Hunter. But it is 1877 and the gold and land race of wagons is ready to start."
Three Bad Men,Western,"Bank robbers and best friends Frame, Luther, and Matt forego safe haven in Colorado to save a women from Dutch Henry and his gang. Meanwhile a possie is formed to track them down and return all the money they stole from a small towns bank. Frame Johnsons choice between money and morality may get him and his best friends killed."
Torrent,"Drama, Romance","A young girl and her father are kicked out of their house by a cruel noblewoman, and the girl's heart is broken when her sweetheart, the noblewoman's son, won't go to Paris with them. After becoming an opera star in Paris, the girl returns to her homeland and finds her romance with the nobleman rekindled."
"Tramp, Tramp, Tramp","Adventure, Comedy, Romance","Low-life Harry falls in love with sweet Betty who inspires him to improve himself so he can marry her. He enters a $25,000 cross-country hiking contest. After many adventures he wins, pays off his father Amos's mortgage and marries Betty."
West Point,"Drama, Romance","Wealthy Brice Wayne enters West Point and, though he does well on the football field, angers fellow cadets with his arrogance. Disciplined by the coach he yells ""To hell with the Corps!"" ..."
The Winning of Barbara Worth,"Drama, Romance, Western","Jefferson Worth finds an orphaned child in the desert and raises her as his daughter, Barbara. When grown, Barbara is beloved by Abe Lee, the foreman of her father's ranch and company. When a rich land developer arrives with plans to irrigate the desert, Worth joins forces with him. The developer's foster son, Willard, falls for Barbara and a rivalry develops between him and Abe. The river is dammed, but the developer swindles the ranchers and refuses to reinforce the weakening dam, as he no longer needs it. An angry mob turns on Worth, Willard and Abe come near confrontation over Barbara, and all the time, that dam is getting weaker...."
The Battle of the Century,"Short, Comedy","Fight manager (Hardy) takes out an insurance policy on his puny pugilist (Laurel) and then proceeds to try to arrange for an accident so that he can collect. When a pie delivery man (Hall) slips on a banana peel, meant for the fighter, a classic pie throwing scene results."
The Vagabond Lover,"Comedy, Musical","College senior Rudy Bronson forms a band with other students and decides to take them to the Long Island home of Ted Grant, his mail order saxophone teacher. Grant and his manager, however, annoyed at Rudy's persistent attempts for admittance, flee to the city. The band makes one last attempt to enter the house by breaking down the door, but they are witnessed by the neighbor, Mrs. Whitehall and her charming niece Jean, who call the police thinking they are burglars. Sport, one of the band members, tells the policeman that Rudy is the famous Ted Grant and lost his key, and Rudy goes along with the deception to avoid jail. Rudy then accepts Mrs. Whitehall's invitation to perform at her upcoming benefit for orphans, because he has fallen in love with Jean. But what will happen, he worries, when Jean finds out the truth."
The Beloved Rogue,"Adventure, Drama, History","In 1432, while François Villon is still an infant, his father dies as a martyr to his devotion to France. François grows up to be a renowned poet, an ardent patriot, and a notorious carouser who is not above criminal acts. During the revels of All Fools Day, he insults Duke Charles of Burgundy, for which King Louis XI, who is afraid of Charles, banishes Villon from Paris. In exile outside the city walls, François looks for ways to protect France from Burgundy's plots. When Charles plans to have one of his associates marry the king's ward Charlotte, Villon successfully disrupts the engagement, but for so doing is sentenced to death. But Villon finds a way to exploit Louis's superstitious nature long enough to give him another chance to serve France, while at the same time seeking the hand of Charlotte."
The Cat and the Canary,"Comedy, Horror, Mystery, Thriller","Ten years have passed since the death of millionaire, Cyrus Norman. Cosby, Cyrus' attorney, has gathered Cyrus' 6 remaining relatives to his New Orleans' mansion for Cyrus' ""reading of the will"". To the others disappointment, Joyce is the sole heir, but, due to a streak of insanity running in the family, a second will has been made in case Joyce falls victim to it. This puts Joyce in danger. Suddenly, Miss Lu, Cyrus' maid, appears and warns them that the spirits have told her that one of them will die that night. Following this, Hendrick, a prison guard, warns them that, ""The Cat"", a homicidal maniac has escaped. This sets up Cyrus' relatives with a night filled with murders, mysteries and intrigue."
Downhill,"Action, Horror, Sport, Thriller","After his best friend dies in a racing accident, biking star Joe agrees to go back on the wheels for an exhibition in Chile. On a test run with his girlfriend Stephanie, they stumble upon a badly injured man dying from a mysterious virus. That's the start of a very bad day for them as they become the target of relentless killers ready to do anything to keep their secret to go out of the mountains."
Duck Soup,"Comedy, Musical, War","The country of Freedonia is in the middle of a financial crisis and on the brink of revolution. In order to gain a bail-out from the wealthy Mrs Teasdale, the government appoints Rufus T Firefly as its president. However, Mr Firefly shuns the pomp and pretentiousness of government; along with the prudence and rationality of it too. Meanwhile, the neighbouring country of Sylvania is plotting to overthrow Freedonia and sends Pinky and Chicolini to spy on Firefly. War seems inevitable."
Felix in Hollywood,"Animation, Short, Comedy","Felix decides to make his way to Hollywood, but has no money. The owner of a failing shoe store promises Felix $500 if he can help bring in new business, which Felix ingeniously manages to do, but the owner stiffs him out of the money. Felix finds a way to get to Hollywood, anyway, and while there meets up with the famous stars of the day, like Charlie Chaplin and Ben Turpin."
The General,"Action, Adventure, Comedy, Drama, War, Western","Johnnie loves his train (""The General"") and Annabelle Lee. When the Civil War begins he is turned down for service because he's more valuable as an engineer. Annabelle thinks it's because he's a coward. Union spies capture The General with Annabelle on board. Johnnie must rescue both his loves."
Jim Button and Luke the Engine Driver,"Adventure, Family, Fantasy",An orphan boy in search of his origin. A young princess held prisoner in deadly Dragon City. Jim and his friend Luke discovering mysterious lands on the quest of a lifetime.
Happiness,"Comedy, Drama","A woman breaks up with her boyfriend, he thinks it's because he's fat. A man is unable to tell her next door neighbor he finds her sexually attractive. An old couple wants to split up, but they don't want to get a divorce. A therapist masturbates to teen magazines. An 11 year old kid is insecure about the fact that he hasn't cum yet. Office workers try to recall the face of a coworker who recently died. A woman is sure she has everything she could ever want. The lives of these individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
It,Horror,"In the Town of Derry, the local kids are disappearing one by one, leaving behind bloody remains. In a place known as 'The Barrens', a group of seven kids are united by their horrifying and strange encounters with an evil clown and their determination to kill It."
The Jazz Singer,"Drama, Music, Musical, Romance","Cantor Rabinowitz is concerned and upset because his son Jakie shows so little interest in carrying on the family's traditions and heritage. For five generations, men in the family have been cantors in the synagogue, but Jakie is more interested in jazz and ragtime music. One day, they have such a bitter argument that Jakie leaves home for good. After a few years on his own, now calling himself Jack Robin, he gets an important opportunity through the help of well-known stage performer Mary Dale. But Jakie finds that in order to balance his career, his relationship with Mary, and his memories of his family, he will be forced to make some difficult choices."
The Kid Brother,"Comedy, Drama, Family, Romance","The most important family in Hickoryville is (naturally enough) the Hickorys, with sheriff Jim and his tough manly sons Leo and Olin. The timid youngest son, Harold, doesn't have the muscles to match up to them, so he has to use his wits to win the respect of his strong father and also the love of beautiful Mary."
From Soup to Nuts,"Comedy, Short","The newly rich Mrs. Culpepper, eager to make an impression in high society, has planned a big dinner party. Her husband is less than enthusiastic, and she herself has much to learn about society ways. But her worst problem is that the two special waiters whom she has hired turn out to be clumsy and inexperienced bumblers."
The Love of Jeanne Ney,"Drama, Romance","In the Crimea, the Reds and the Whites aren't done fighting, and Jeanne discovers that the man she loves is a Bolshevik (when he kills her father). Penniless, she returns to Paris where she works for her uncle. Soon after, her lover Andreas is in France to organize the sailors in Toulon. So also is a thief, traitor, and libertine, Khalibiev, who wants to seduce Jeanne. His schemes, Jeanne and Andreas's naivete, and a lost diamond bring the lovers to the brink of tragedy."
London After Midnight,Horror,"When Roger Balfour is found shot dead in his London home, his death is declared a suicide by Inspector Burke of Scotland Yard, even though the executor of Balfour's estate, Sir James Hamlin, insists his friend never would have taken his own life. Five years later, the abandoned Balfour house comes to life again with the arrival of two sinister-looking tenants: a fiendish-looking man with pointed teeth, bulging eyes and a tall beaver hat, and a pale young woman in a long gown. The presence of the strangers prompts Sir James, who lives next door, to call in Inspector Burke again. Also living in the Hamlin household are the other people who were also present in Balfour's house the night he died: Sir James' nephew, Arthur Hibbs; the late Balfour's now-grown daughter, Lucille; and Williams, the butler. Burke expresses skepticism about Sir James' suspicions that the new neighbors might have been involved in Balfour's death, until strange things start happening: Balfour's body disappears from its tomb. The new maid, Smithson, tells a terrifying tale of being menaced in Lucille's bedroom by the stranger in the beaver hat. And a man spotted inside the Balfour house by Burke and Sir James looks distinctly like the late Roger Balfour. A skittish Arthur becomes convinced the neighbors are vampires. Burke takes Lucille aside, and tells her he doesn't believe her father committed suicide. He asks her to trust him. Burke also has a private talk with Arthur. Burke uses hypnosis to put Arthur into a trance, but learns nothing new about Balfour's death. That night, someone fires a shot into Arthur's room, but Arthur isn't there; instead, it's Burke who's slightly wounded. Lucille is abducted by the beaver-hatted man and the butler and brought to her former home. Sir James, acting at Burke's instruction, also shows up at the Balfour house; he's met out front by the beaver-hatted man, who puts him into a hypnotic trance. Arthur breaks into the Balfour house in an attempt to rescue Lucille; he's caught by Burke and a couple of detectives and locked away. It turns out the man with the beaver hat and pointed teeth was really a disguised Inspector Burke, who was aided at times by a double; Smithson, the maid, is an assistant detective; the mysterious young woman, a stage performer working for the police. Under Burke's hypnosis, Sir James re-creates his actions the night Roger Balfour died, with Lucille and the butler, Williams, playing themselves, and Burke's double playing the part of Balfour. It turns out Sir James shot and killed Balfour and made the death appear a suicide after Balfour rejected Sir James as a future husband for young Lucille. Sir James is brought out of his trance and arrested by Burke. The mystery of Balfour's death solved, Lucille and Arthur, who have come to realize how much they love each other, are now free to marry."
The Hypnotist,"Crime, Drama, Thriller","After a young woman and her parents are murdered by a killer determined to wipe out the entire family, Detective Inspector Joona Linna works with a psychiatrist to hypnotize the son who narrowly escaped death in order to find the one surviving daughter before the murderer does."
Love,"Drama, Romance","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
The Love of Sunya,Drama,"In ancient Egypt, an evil priest drove a pure maiden to suicide. In today's reincarnation, to free himself the priest must find and help the maiden...now a young American singing student, Sunya Ashling, who is torn between pursuing a career in European opera, going to South America with fiancée Paul, or saving her father from financial ruin by marrying wealthy Robert Goring. The ancient priest, reincarnated as a gypsy vagabond, grants her visions of her future life if she should follow each of the three roads. Does each have a fatal drawback?"
Mr. Wu,"Drama, Romance","Raised by his grandfather to adhere to the ancient laws of China, Mandarin Wu is a strict authoritarian. However, he is a doting father to his beautiful daughter Nang Ping. Nang Ping is to be married to a man of her father's choosing, a man she does not even know. But she falls in love with a dashing British visitor to China, Basil Gregory. Basil informs Nang Ping that he must return to Britain with his family, but she surprises him with the revelation that she carries his child. Wu learns of his daughter's dishonor and lets the ancient laws of China lead him relentlessly toward tragedy."
My Best Girl,"Comedy, Romance","Joe Merrill, son of the millionaire owner of a chain of 5 and 10 cent stores, poses as Joe Grant, and takes a job in the stockroom of one of his father's stores, to prove that he can be a success without his father's influence. There he meets stockroom girl Maggie Johnson, and they fall in love. This causes problems, because Mrs. Merrill had planned for her son to marry Millicent Rogers, a high society girl."
October (Ten Days that Shook the World),"Drama, History","In documentary style, events in Petrograd are re-enacted from the end of the monarchy in February of 1917 to the end of the provisional government and the decrees of peace and of land in November of that year. Lenin returns in April. In July, counter-revolutionaries put down a spontaneous revolt, and Lenin's arrest is ordered. By late October, the Bolsheviks are ready to strike: ten days will shake the world. While the Mensheviks vacillate, an advance guard infiltrates the palace. Anatov-Oveyenko leads the attack and signs the proclamation dissolving the provisional government."
Quality Street,"Comedy, Drama, Romance","It's 1805 England, specifically on Quality Street, where a gentleman passerby is an event, not only for the lady being called upon, but also for the ever watching nosy female neighbors. Based on recent events, twenty year old Phoebe Throssel believes that a proposal of marriage from Dr. Valentine Brown is imminent. However, what Dr. Brown has come to tell Phoebe is that he has enlisted in the army to fight in the Napoleonic Wars, with no mention of any romantic feeling for her from his side. Fast forward ten years. Phoebe and her similarly older spinster sister Susan now run a school. The years and situation have not been kind to Phoebe, now thirty, drab and thus considered an unmarriable spinster. Upon Captain Brown's arrival back to Quality Street, he, by his immediate reaction to seeing Phoebe, too has noticed how Phoebe has changed from what he previously knew as a pretty young thing. Heartbroken, Phoebe, if only for herself, decides to regain some of her youth by paying attention to her appearance, which she has not done in quite some time. As Captain Brown does not recognize the remade Phoebe as the Phoebe he now knows, Patty, Phoebe and Susan's maid, makes an impromptu decision and introduces Phoebe as Livvie, Phoebe and Susan's visiting niece. Regardless of who she is, Captain Brown seems enthralled with ""Livvie"". However, Livvie catches the attention of many a young returning junior officer. Not going into the situation with a plan, Phoebe decides to continue to masquerade as Livvie, string along all the junior officers to make Captain Brown jealous leading to Captain Brown proposing marriage to her which she will rebuke as a ridiculous suggestion. However, Phoebe has to be able to pull of the scheme, which includes fooling the ever knowing spinster Willoughby sisters, Susan and Phoebe' closest friends. But an admission by Captain Brown to Livvie may make Phoebe change her plan of attack."
The Red Mill,"Comedy, Romance","Tina works as a barmaid at the Red Mill Tavern and is at the mercy of volatile and bad tempered owner, Willem. Dennis is a visitor to the area and Tina soon falls in love with him. Dennis doesn't share her feeling and leaves only to return later on. He becomes interested in Gretchen, the Burgomaster's daughter. However, Gretchen, about to enter into an arranged marriage with the Governor, is in love with Captain Jacop Van Goop. Tina and Gretchen enter into an elaborate masquerade in order to be with the men they each love."
The Second 100 Years,"Comedy, Short","Two convicts (Laurel & Hardy), in an escape attempt, tunnel into the warden's office, instead. They then disguise themselves as painters and walk out the front gate. Needing new clothes, they steal suits from visiting dignitaries, take their places in a limousine, and are delivered back to the same prison for a tour."
The Second Hundred Years,Comedy,Prospector Luke Carpenter was frozen in suspended animation in the year 1900 while panning for gold in Alaska. He was successfully thawed and returned home perfectly preserved at 33 years ...
7th Heaven,"Drama, Family, Romance","This weekly television series follows the Camden family as the minister father and stay-at-home mother deal with the drama of having seven children, ranging from toddlers to adults with families of their own. The friends, neighbors, and love interests of the various members of the family weigh heavily on the plot of the series, which seeks to address a real-life issue with each episode."
Seventh Heaven,"Drama, Romance","A Parisian sewer worker longs for a rise in status and a beautiful wife. He rescues a girl from the police, lives with her in a barren flat on the seventh floor, and then marches away to war."
Spring Fever,Drama,"Hired to spy on a philandering husband, Luo Haitao soon becomes entangled in a clandestine affair with the other man. Along with Luo's girlfriend, they succumb to the delirium of drunken nights, but how long can their tryst last?"
Old Heidelberg,"Drama, Romance","Karl Heinrich is the heir to the throne of the small European principality of Rutania, but he's a lonely child, not allowed to play with other children and knowing little about life outside the castle. When he reaches college age he is sent to attend the University of Heidelberg, and really starts to enjoy himself for the first time, even falling in love with Kathie, his only friend during childhood and the niece of an innkeeper. However, political turmoil in Rutania forces him to return. He finds that the only way out of declaring war on a neighboring country would be to marry the daughter of its king--but that would require giving up Kathie, the only woman he's ever loved."
The Student Prince in Old Heidelberg,"Drama, Romance","Young Prince Karl Heinrich has spent his entire life behind the palace gates protected from the world. He has been raised in a melancholy atmosphere of strict discipline and duty, yet he often looks out at the frolics of youths and maidens who live beyond the walls. When he passes his exams, Karl is sent to Heidelberg to complete his studies. It is a heady new world of brew, song, and comradeship. Karl falls in love with Kathi, a pretty barmaid, and she reciprocates. But can the love survive their disparate backgrounds? Will Karl ever find happiness or will duty deny it to him?"
Sunrise,"Drama, Romance","In this fable-morality subtitled ""A Song of Two Humans"", the ""evil"" temptress is a city woman who bewitches farmer Anses and tries to convince him to murder his neglected wife, Indre."
Sunrise,"Drama, Romance","In this fable-morality subtitled ""A Song of Two Humans"", the ""evil"" temptress is a city woman who bewitches farmer Anses and tries to convince him to murder his neglected wife, Indre."
Tell It to the Marines,"Comedy, Drama, Romance","U.S. Marine Sergeant O'Hara has his hands full training raw recruits, one of whom, 'Skeets' Burns, is a particular thorn in his side. If Burns's lackadaisical approach to the military were not bad enough, he also makes advances on nurse Nora Dale, whom Sergeant O'Hara secretly loves. Nora is oblivious to O'Hara's feelings and is attracted to the handsome 'Skeet.' But an indiscretion turns her against him, and it takes an expedition to China and a battle with a warlord's bandit brigade to sort things out among the nurse and her two Marines."
Bed and Sofa,"Comedy, Drama","A married couple have a small apartment in Moscow. When an old friend of the husband's arrives in the city, he is unable to find lodgings. Kolia, the husband, invites his friend to move in with them."
Twelve Miles Out,Drama,"Jerry always wins in his rivalry with Red over women, gunrunning, and diamond smuggling. While running booze into the U.S. during Prohibition, Jerry seizes Jane's seaside home. When she tries to turn him in, he kidnaps her and her fiance John. Jane, now in love with Jerry, must watch as Jerry and Red shoot it out on board Jerry's boat."
Two Arabian Knights,"Comedy, Romance, Adventure","Americans Sgt. Peter O'Gaffney and one of his soldiers, privileged ""pretty boy"" W. Daingerfield Phelps III (who is always drawing caricatures), are captured and interred at a POW camp in Northern Germany near the end of WWI. Their relationship has always been an antagonistic one based on what Phelps sees as O'Gaffney pushing him around. O'Gaffney's rank is despite being wanted by the police back home as a con man. It is because of these differences that their resulting friendship at camp is so unlikely, the friendship based on both having the nerve to attempt to escape. On a snow covered day, they do manage to escape, in part by stealing white robes to camouflage themselves against the snow. In their adventures and misadventures on the outside in trying to get to safety, those adventures which include being mistaken for Arab prisoners, they find themselves as stowaways on board a cargo ship headed to Arabia. It is there that they meet a beautiful Arab woman named Mirza, who they save from drowning. They are both immediately smitten by her, which is why they are so disappointed to learn that she is betrothed in an arranged marriage to the ruthless Shevket Ben Ali. As the two try to reach the safety of an American consulate, they also decide to try and liberate Mirza, which may be more dangerous than fighting in the trenches in the battlefields of France."
The Horse Ate the Hat,Comedy,"On his way through the woods to his marriage, Fadinard's horse eats the hat of a married lady spending here a few moments with her lover. Fadinard has to find the very same rare hat to ..."
Underworld,"Action, Fantasy, Thriller","A war has been raging between the Vampires and Lycan for centuries, Selene (Beckinsale) is a death dealer, assigned to hunt down and eradicate the last of the Lycan. When she comes across Michael Corvin (Speedman) who holds the key to end the war she must decide where her allegiances will lie."
The Unknown,"Drama, Horror, Romance, Thriller","Alonzo is an armless knife thrower and gun shooter for a circus---or so he appears. He is actually a burglar with his arms intact. He and his accomplice, Cojo (a little person), are hiding from the police, and Alonzo views his disguise as perfect, especially since it keeps from view an unusual deformity of his left hand that would immediately give him away as the burglar. Nanon, the daughter of the circus owner, is the target in his act. Although Alonzo is in love with her, Nanon's father despises him. Nanon is attracted to Malabar, the circus strong man, but she is also repulsed by his uninhibited sexual advances and desire to touch and hold her. Apparently her phobia extends to the touch of any man. Alonzo feeds her fears in the hopes that Nanon will fall in love with him since he is ""armless."" Because Zanzi discovers Alonzo really has arms, Alonzo kills him, but Nanon witnesses the killing without seeing Alonzo's face; however, she does see the telltale deformity of his left hand. As Alonzo continues to plot to steal Nanon away from Mirabar, Cojo makes him realize that she will hate him once she discovers he has arms---and the deformity showing that he is her father's murderer. Alonzo decides to have his left arm amputated, which he succeeds in doing through blackmailing a surgeon. He thinks Nanon will forgive him for hiding the fact that he has ONE arm. While Alonzo is recuperating from the surgery, Nanon gets over her fear of being touched and falls completely in love with Mirabar. Discovering this upon his return, Alonzo hatches a scheme to kill Mirabar as he attempts his latest, most daring stunt. Although the stunt goes horribly awry, it is Alonzo who gets killed."
Wings,"Drama, Romance, War, Action","Two young men from the same town but different social classes end up as fighter pilots in WW1. Jack Preston is a keen auto mechanic, building and modifying cars. David Armstrong comes from a wealthy family. They are both in love with the same woman, Sylvia. Her heart belongs to David but she doesn't let Jack know and plays along with his infatuation. Meanwhile, Jack's neighbour, Mary, is deeply in love with him but he just views her as a friend. WW1 interrupts the romantic entanglements as Jack and David enlist in the US Army Air Service (Air Service of the AEF at the time). They are initially bitter enemies, due to them both vying for Sylvia's affections. Over time, however, they become very good friends. They are both posted to the same fighter squadron in France, where being a fighter pilot means every day could easily be your last."
Across to Singapore,"Drama, Romance","It's the mid-nineteenth century. The neighboring Shore and Crowninshield families of the American east coast have a long tradition of seafaring. Of Jeremiah Shore's four sons, the only one not at sea is the youngest, Joel Shore, solely because of his age. Joel has had a long friendship with the Crowninshield's daughter, Priscilla Crowninshield, that friendship which is now on the brink of romantic love as they become of age, although this new-found love is unspoken on both sides. Joel hopes that when his eldest brother, Mark Shore, captain of the Nathan Ross, returns home from his latest voyage, he will allow Joel to sail with him. Although Mark still sees Joel as the ""youngin'"" of the family, Joel, through slightly underhanded means, is able to convince Mark that he is man enough to become a sailor. Also on this layover at home, Mark notices that Priscilla has become a beautiful young woman, who he now wants to marry. Mark arranges the engagement with his father and Priscilla's father without Priscilla's knowledge. The public announcement of the engagement shocks both Joel and Priscilla, the latter who has no romantic interest in Mark. On the Nathan Ross' first sailing following the engagement, that sailing to Singapore, Captain Mark makes a decision that unwittingly sets off a series of events that jeopardize both his and Joel's lives, but also tests whether in this situation family and brotherly loyalty or being with the woman you love is more important."
All the Brothers Were Valiant,"Adventure, Drama, Romance","Sea-faring saga of two brothers (Robert Taylor, Stewart Granger) and the woman they both love. Set against South Pacific islands, this love triangle pits the good brother against the bad as they squabble over Ann Blyth and a bag of pearls on the floor of a lagoon; the bad boy redeems himself, however, by helping fend off a mutiny."
Beggars of Life,"Adventure, Drama","After killing her treacherous step-father, a girl tries to escape the country with a young vagabond. She dresses as a boy, they hop freight trains, quarrel with a group of hobos, and steal a car in their attempt to escape the police, and reach Canada."
Pandora's Box,"Crime, Drama, Romance","Lulu is a beautiful young woman who can seemingly work her charms on all of the men around her. She is currently being kept by the rich editor Dr. Ludwig Schön. She is just a plaything however and he is engaged to be married to Charlotte, a woman of his own class. He arranges for Lulu to appear in his son Alwa's musical revue and he too falls for all of her charms. When Dr. Schön and his fiancée go to the theater, Lulu ensures that he is put in a compromising situation and the elder Schön feels he now must marry her, knowing full well it will ruin his reputation. On his wedding day, Dr. Schön reaches his breaking point. His actions cost him his life however and Lulu is convicted of manslaughter. She escapes with the help of her old cronies but together they begin a downward spiral."
The Cameraman,"Comedy, Romance, Family, Drama","After becoming infatuated with a pretty office worker for MGM Newsreels, Buster trades in his tintype operation for a movie camera and sets out to impress the girl (and MGM) with his work."
The Cardboard Lover,"Comedy, Romance","A ditzy American girl visiting Monte Carlo is hired by a tennis champ to be his ""cardboard lover""--to pretend to be in love with him so he can teach his two-timing fiancé a lesson and win her back. What he doesn't realize is that the girl isn't pretending--she actually is in love with him, and she sets out to win him for herself."
The Circus,"Comedy, Romance","The Tramp finds himself at a circus where he is promptly chased around by the police who think he is a pickpocket. Running into the Bigtop, he is an accidental sensation with his hilarious efforts to elude the police. The circus owner immediately hires him, but discovers that the Tramp cannot be funny on purpose, so he takes advantage of the situation by making the Tramp a janitor who just happens to always be in the Bigtop at showtime. Unaware of this exploitation, the Tramp falls for the owner's lovely acrobatic stepdaughter, who is abused by her father. His chances seem good, until a dashing rival comes in and Charlie feels he has to compete with him."
The Cossacks,Drama,"Lukashka is the son of a fierce Cossack chief, but he would rather relax in the woods or flirt with his sweetheart Maryana than go to battle with the neighboring Turks. However, his life changes when he is publicly humiliated by his fellow villagers and rejected by Maryana, who regard him as a coward. Overnight, Lukashka proves himself a capable warrior to prove them all wrong, impressing his father and Maryana; however, when she tries to apologize for her cruel treatment of him, he ignores her, even though he is still in love with her. Matters get complicated when the Tsar's son comes to village in search of a bride and sets his eyes on Maryana. And then there's still the Turks to contend with..."
The Mob,"Crime, Drama, Film-Noir","Police detective Damico, outwitted by mob killer Blackie Clay, is nominally suspended; actually he goes undercover (as Tim Flynn, ex-con longshoreman) to find Clay and expose the waterfront rackets. In character, Damico throws his weight around so much that the mobsters try to get rid of him; surviving this, he begins to realize that few of those around him are what they seem."
The Crowd,"Drama, Romance","Born on the fourth of July, 1900, the future holds unlimited potential for newborn John Sims. But dreams soon fade with the death of his father when John is but a lad. Like many before him, John sets out to make his mark in New York City, but ends up a faceless worker (#137) in a large office of a large business. Still he is happy with his fate and soon meets a young woman named Mary on a blind double date. Things take their course and they soon marry and live in a small apartment. Soon John is bickering with Mary and finds that he has no love for the in-laws. When the marriage looks like a bust, he finds that Mary is with child and he stays. After 5 years, he has a son and a daughter and the same dead end job. When tragedy strikes, John must find the conviction to continue or lose what little he has left."
The Docks of New York,"Crime, Drama, Film-Noir, Romance","Bill Roberts works as a stoker on a coal-red barge. It's dirty, hard work and the men have to put up with a foreman, Andy, who seems to enjoy making their life miserable. When finally off the ship, Bill sees a young woman struggling in the water - apparently trying to commit suicide. He takes her to the Sandbar saloon, the sailors' hangout. The girl is Mae and Bill takes a shine to her but so does Andy. One thing leads to another and Bill asks her to marry him then and there. They don't have a marriage ;licence however and despite Bill promising to get one first thing the morning he decides to leave her behind. When she gets into trouble however, Bill steps in."
The Fall of the House of Usher,Horror,"Allan has a hard time finding the Usher's house, which is known to be cursed... But he is a personal friend of Roderick Usher, who lives with his sick wife Madeline and a doctor. Roderick is painting a portrait of Madeline, but every pose exhausts her. Allan worries more and more..."
The Finishing Touch,"Comedy, Short","The boys are contracted to build a house in one day. Upon completion, a bird lands on the chimney and the house collapses, bit by bit. When the owner demands his money back, mayhem ensues."
Four Sons,"Drama, War","In Burgendorf, Bavaria, Mother Bernle has four sons. Franz is in the army, Johann works at the forge, Andreas tends the sheep. Joseph is riding a hay wagon with a pretty girl when some of the hay falls off, landing on the fearsome Maj. Von Stomm. Joseph gets a slap from the major... The jovial postman has brought a letter from America. Joseph has the offer of a job in the States. But getting there is so expensive... It's Mother Bernle's birthday and most of the town gathers for the dancing. Mother gives Joseph the money she has secreted away. He leaves for the USA... It is ""Der Tag"", The Day when war is declared. Franz and Johann are excited about their new uniforms. But America is still neutral. Joseph runs the German-American Delicatessen with his new wife Annabelle. The reports of the first German battles with the Russians are good. So why does the postman carry a black-edged letter for Mother Bernle? When America does enter the war, Joseph enlists and meets his friend, the iceman from the deli... Times are very bad in Burgendorf. Von Stomm accuses Mother Bernle: she is the ""mother of a traitor""..."
The Gallopin' Gaucho,"Animation, Short, Comedy","Mickey rides up to a cantina and does a tango with Minnie. When a big cat steals her away, Mickey gives chase, riding a drunken ostrich. At the hideout, Mickey has a swordfight with the cat."
A Girl in Every Port,Comedy,"After two sailors are conned into buying a lame race-horse, they go ashore to sort out the problem, but when they realize that the horse is one of a pair of identical twins, their plan for revenge becomes more complicated."
The Last Command,"Drama, History, Romance, War","A decorated, aristocratic Czarist General is reduced to penury after the collapse of Imperial Russia. An old adversary, now a successful director hires the general to re-enact the revolution which deposed him."
"Laugh, Clown, Laugh",Drama,"As professional clowns Tito and Simon are traveling, they happen upon an abandoned child, whom they take in and name Simonetta. When Simonetta is older, she becomes a circus performer herself. One day she is looking for roses, and climbs into the garden of Count Luigi Ravelli. The count becomes infatuated with her, but she leaves as soon as possible. Sometime later, Ravelli consults a doctor about his fits of uncontrollable laughter, and there he meets Tito, who has come to seek help for his fits of uncontrollable weeping. The two decide to help each other, and they establish a friendship, but problems arise when they realize that they are both in love with Simonetta."
Leave 'Em Laughing,"Comedy, Short","Leaving the dentist's office, where Hardy's teeth have been extracted by mistake, the boys, still under the influence of laughing gas, meet up with a traffic cop (Kennedy) and cause a huge traffic jam."
Lights of New York,"Crime, Drama, Music, Romance","A young kid from Upstate New York named Eddie (Landis) is conned into fronting for a speakeasy on Broadway. Throughout the con there is an inevitable chorus-girl with a heart of gold (Costello), a cop-killing gangster boss (Oakman) and his downtrodden ex-girlfriend (Brockwell)."
Lilac Time,"Drama, Romance, War","All of those handsome young men in their flying machines are billeted in a field next to the Widow Berthelot's farmhouse in France. Her daughter Jeannine is curious about the young men fighting for England in World War I and their airplanes. Then one of the aviators is killed. His replacement is Captain Philip Blythe who can't help but notice Jeannine. When he lands the first time, she is standing in the middle of his ""runway."" She makes a more favorable impression when he sees her later by the lilacs. When all of the young men depart on a mission, Blythe promises to return."
